0, 249374, 2144, 2493, 0
1, 242123, 2144, 2421, 1
2, 234969, 2103, 2349, 0
3, 228684, 2100, 2286, 0
4, 223413, 2065, 2234, 0
5, 217967, 2065, 2179, 1
6, 212900, 2053, 2129, 0
7, 211249, 2027, 2112, 0
8, 209860, 2018, 2098, 0
9, 207966, 2002, 2079, 0
10, 205879, 1983, 2058, 0
11, 203872, 1965, 2038, 0
12, 202718, 1957, 2027, 0
13, 201177, 1936, 2011, 0
14, 199426, 1916, 1994, 0
15, 198169, 1895, 1981, 0
16, 197174, 1857, 1971, 0
17, 195431, 1853, 1954, 0
18, 193515, 1853, 1935, 1
19, 192039, 1828, 1920, 0
20, 190930, 1828, 1909, 1
21, 190215, 1828, 1902, 2
22, 189093, 1790, 1890, 0
23, 187341, 1784, 1873, 0
24, 185796, 1781, 1857, 0
25, 184577, 1771, 1845, 0
26, 183040, 1736, 1830, 0
27, 182109, 1730, 1821, 0
28, 180924, 1710, 1809, 0
29, 179601, 1708, 1796, 0
30, 178201, 1690, 1782, 0
31, 177145, 1674, 1771, 0
32, 175843, 1641, 1758, 0
33, 174397, 1639, 1743, 0
34, 172319, 1639, 1723, 1
35, 171390, 1636, 1713, 0
36, 170616, 1617, 1706, 0
37, 169436, 1588, 1694, 0
38, 168386, 1588, 1683, 1
39, 166414, 1569, 1664, 0
40, 165066, 1551, 1650, 0
41, 163948, 1548, 1639, 0
42, 162157, 1548, 1621, 1
43, 161690, 1544, 1616, 0
44, 160738, 1536, 1607, 0
45, 159788, 1510, 1597, 0
46, 158382, 1509, 1583, 0
47, 157446, 1474, 1574, 0
48, 156738, 1474, 1567, 1
49, 155586, 1468, 1555, 0
50, 153913, 1468, 1539, 1
51, 153409, 1468, 1534, 2
52, 152216, 1465, 1522, 0
53, 151503, 1450, 1515, 0
54, 150832, 1445, 1508, 0
55, 150022, 1445, 1500, 1
56, 149247, 1434, 1492, 0
57, 148890, 1425, 1488, 0
58, 148203, 1425, 1482, 1
59, 148198, 1425, 1481, 2
60, 147722, 1416, 1477, 0
61, 147225, 1416, 1472, 1
62, 146938, 1407, 1469, 0
63, 146606, 1374, 1466, 0
64, 145793, 1353, 1457, 0
65, 144763, 1342, 1447, 0
66, 143124, 1329, 1431, 0
67, 141447, 1321, 1414, 0
68, 139914, 1315, 1399, 0
69, 138925, 1309, 1389, 0
70, 138524, 1283, 1385, 0
71, 137960, 1258, 1379, 0
72, 137490, 1258, 1374, 1
73, 136419, 1258, 1364, 2
74, 134599, 1258, 1345, 3
75, 133000, 1245, 1330, 0
76, 131048, 1231, 1310, 0
77, 130341, 1231, 1303, 1
78, 129839, 1226, 1298, 0
79, 129324, 1226, 1293, 1
80, 129843, 1226, 1298, 2
81, 129715, 1221, 1297, 0
82, 128931, 1216, 1289, 0
83, 128827, 1202, 1288, 0
84, 128491, 1189, 1284, 0
85, 128028, 1189, 1280, 1
86, 127197, 1178, 1271, 0
87, 126373, 1178, 1263, 1
88, 125715, 1178, 1257, 2
89, 125181, 1176, 1251, 0
90, 124464, 1161, 1244, 0
91, 123460, 1161, 1234, 1
92, 123813, 1161, 1238, 2
93, 123430, 1160, 1234, 0
94, 122826, 1153, 1228, 0
95, 121764, 1152, 1217, 0
96, 121076, 1145, 1210, 0
